product_code,sku_code,merchant_code
ID04018,sku51627898549233,MID.08 
ID04018,sku51627898549233,MID.02
ID04018,sku51627898549233,MID.01
ID04018,sku51627898549233,AMZ.ID
ID04018,sku51627898549233,CPO.ID
ID04018,sku61627898549252,MID.08
ID04018,sku61627898549252,MID.02
ID04018,sku61627898549252,MID.01
ID04018,sku61627898549252,AMZ.ID
ID04018,sku61627898549252,CPO.ID
ID04018,sku71627898549282,MID.08
ID04018,sku71627898549282,MID.02
ID04018,sku71627898549282,MID.01
ID04018,sku71627898549282,AMZ.ID
ID04018,sku71627898549282,CPO.ID
ID04018,sku81627898549306,MID.08
ID04018,sku81627898549306,MID.02
ID04018,sku81627898549306,MID.01
ID04018,sku81627898549306,AMZ.ID
ID04018,sku81627898549306,CPO.ID
ID04018,sku91627898549314,MID.08
ID04018,sku91627898549314,MID.02
ID04018,sku91627898549314,MID.01
ID04018,sku91627898549314,AMZ.ID
ID04018,sku91627898549314,CPO.ID
PH09035,sku01628042670893,TVH.PH
PH09036,sku01628042920134,TVH.PH
PH09037,sku01628043056349,TVH.PH
PH09038,sku01628043204168,TVH.PH
TEZ.GOBIZ.001,sku1677135992771,gobiz
TEZ.GOBIZ.001,sku1677135992772,gobiz
TEZ.GOBIZ.001,sku1677135992773,gobiz
TEZ.GOBIZ.001,sku1677135992774,gobiz
PH400900101,PH400900101,MPH.40
TH05018,sku01628303257933,DPN.TH
TH05018,sku11628303257976,DPN.TH
TH05018,sku21628303257986,DPN.TH
VL.04.003,sku-24-1527346363596,ARN.PH
VL.04.003,sku-24-1527346363596,LZC.PH
VL.04.003,sku-24-1527346363596,BLW.PH
VL.04.003,sku-24-1527346363596,CPO.PH
VL.04.003,sku-24-1527346363596,AMZ.PH
VL.04.003,sku-24-1527346363596,WAR.PH
VL.04.003,sku-24-1527346363807,ARN.PH
VL.04.003,sku-24-1527346363807,LZC.PH
VL.04.003,sku-24-1527346363807,BLW.PH
VL.04.003,sku-24-1527346363807,CPO.PH
VL.04.003,sku-24-1527346363807,AMZ.PH
VL.04.003,sku-24-1527346363807,WAR.PH
VL.04.003,sku-24-1527346364019,ARN.PH
VL.04.003,sku-24-1527346364019,LZC.PH
VL.04.003,sku-24-1527346364019,BLW.PH
VL.04.003,sku-24-1527346364019,CPO.PH
VL.04.003,sku-24-1527346364019,AMZ.PH
VL.04.003,sku-24-1527346364019,WAR.PH
VL.04.003,sku-24-1527346364230,ARN.PH
VL.04.003,sku-24-1527346364230,LZC.PH
VL.04.003,sku-24-1527346364230,BLW.PH
VL.04.003,sku-24-1527346364230,CPO.PH
VL.04.003,sku-24-1527346364230,AMZ.PH
VL.04.003,sku-24-1527346364230,WAR.PH
VL.04.003,sku-24-1527346364441,ARN.PH
VL.04.003,sku-24-1527346364441,LZC.PH
VL.04.003,sku-24-1527346364441,BLW.PH
VL.04.003,sku-24-1527346364441,CPO.PH
VL.04.003,sku-24-1527346364441,AMZ.PH
VL.04.003,sku-24-1527346364441,WAR.PH
EZ.04.010,sku01550045502295,MPH.07
EZ.04.010,sku01550045502295,MPH.03
EZ.04.010,sku01550045502295,MPH.10
EZ.04.010,sku01550045502295,MPH.06
EZ.04.010,sku01550045502295,MPH.11
EZ.04.010,sku01550045502295,MPH.12
EZ.04.010,sku01550045502295,MPH.05
EZ.04.010,sku01550045502295,MPH.09
EZ.04.010,sku01550045502295,MPH-06
EZ.04.010,sku01550045502295,WARLG.PH
EZ.04.010,sku01550045502295,WARVK.PH
EZ.04.010,sku01550045502295,FLASH.PH
EZ.04.010,sku01550045502295,WARTT.PH
EZ.04.010,sku01550045502295,IPT.PH
EZ.04.010,sku01550045502295,LZC.PH
EZ.04.010,sku01550045502295,BLW.PH
EZ.04.010,sku01550045502295,CPO.PH
EZ.04.010,sku01550045502295,AMZ.PH
EZ.04.010,sku01550045502295,WAR.PH
EZ.04.010,sku01550045502295,HZT.PH
EZ.04.022,sku01562551313230,LZC.PH
EZ.04.022,sku01562551313230,WAR.PH
EZ.04.022,sku01562551313230,BLW.PH
EZ.04.022,sku01562551313230,CPO.PH
EZ.04.022,sku01562551313230,AMZ.PH
EZ.04.022,sku11562551313232,LZC.PH
EZ.04.022,sku11562551313232,WAR.PH
EZ.04.022,sku11562551313232,BLW.PH
EZ.04.022,sku11562551313232,CPO.PH
EZ.04.022,sku11562551313232,AMZ.PH
EZ.04.022,sku21562551313234,LZC.PH
EZ.04.022,sku21562551313234,WAR.PH
EZ.04.022,sku21562551313234,BLW.PH
EZ.04.022,sku21562551313234,CPO.PH
EZ.04.022,sku21562551313234,AMZ.PH
EZ.04.015,sku01567673696675,IPT.PH
EZ.04.015,sku01567673696675,LZC.PH
EZ.04.015,sku01567673696675,CPO.PH
EZ.04.015,sku01567673696675,AMZ.PH
EZ.04.015,sku01567673696675,WAR.PH
EZ.04.015,sku01567673696675,ARN.PH
EZ.04.015,sku01567673696675,BLW.PH
EZ.04.015,sku11567673696690,IPT.PH
EZ.04.015,sku11567673696690,LZC.PH
EZ.04.015,sku11567673696690,CPO.PH
EZ.04.015,sku11567673696690,AMZ.PH
EZ.04.015,sku11567673696690,WAR.PH
EZ.04.015,sku11567673696690,ARN.PH
EZ.04.015,sku11567673696690,BLW.PH
EZ.04.015,sku21567673696698,IPT.PH
EZ.04.015,sku21567673696698,LZC.PH
EZ.04.015,sku21567673696698,CPO.PH
EZ.04.015,sku21567673696698,AMZ.PH
EZ.04.015,sku21567673696698,WAR.PH
EZ.04.015,sku21567673696698,ARN.PH
EZ.04.015,sku21567673696698,BLW.PH
EZ.04.016,sku01569925302088,ARN.PH
EZ.04.016,sku11569925302091,ARN.PH
EZ.04.018,sku01575282487622,IPT.PH
EZ.04.018,sku01575282487622,CPO.PH
EZ.04.018,sku01575282487622,LZC.PH
EZ.04.018,sku01575282487622,AMZ.PH
EZ.04.018,sku01575282487622,ARN.PH
EZ.04.018,sku01575282487622,WAR.PH
EZ.04.018,sku01575282487622,BLW.PH
EZ.04.018,sku11575282487626,IPT.PH
EZ.04.018,sku11575282487626,CPO.PH
EZ.04.018,sku11575282487626,LZC.PH
EZ.04.018,sku11575282487626,AMZ.PH
EZ.04.018,sku11575282487626,ARN.PH
EZ.04.018,sku11575282487626,WAR.PH
EZ.04.018,sku11575282487626,BLW.PH
EZ.04.018,sku21575282487629,IPT.PH
EZ.04.018,sku21575282487629,CPO.PH
EZ.04.018,sku21575282487629,LZC.PH
EZ.04.018,sku21575282487629,AMZ.PH
EZ.04.018,sku21575282487629,ARN.PH
EZ.04.018,sku21575282487629,WAR.PH
EZ.04.018,sku21575282487629,BLW.PH
EZ.04.023,sku01579715542590,ARN.PH
EZ.04.023,sku01579715542590,AMZ.PH
EZ.04.023,sku01579715542590,LZC.PH
EZ.04.023,sku11579715542593,ARN.PH
EZ.04.023,sku11579715542593,AMZ.PH
EZ.04.023,sku11579715542593,LZC.PH
EZ.04.026,sku01584363506257,WAR.PH
EZ.04.026,sku01584363506257,AMZ.PH
EZ.04.026,sku01584363506257,CPO.PH
EZ.04.026,sku01584363506257,ARN.PH
EZ.04.026,sku01584363506257,LZC.PH
EZ.04.026,sku01584363506257,BLW.PH
EZ.04.026,sku11584363506259,WAR.PH
EZ.04.026,sku11584363506259,AMZ.PH
EZ.04.026,sku11584363506259,CPO.PH
EZ.04.026,sku11584363506259,ARN.PH
EZ.04.026,sku11584363506259,LZC.PH
EZ.04.026,sku11584363506259,BLW.PH
EZ.04.026,sku21584363506261,WAR.PH
EZ.04.026,sku21584363506261,AMZ.PH
EZ.04.026,sku21584363506261,CPO.PH
EZ.04.026,sku21584363506261,ARN.PH
EZ.04.026,sku21584363506261,LZC.PH
EZ.04.026,sku21584363506261,BLW.PH
EZ.04.026,sku31584363506262,WAR.PH
EZ.04.026,sku31584363506262,AMZ.PH
EZ.04.026,sku31584363506262,CPO.PH
EZ.04.026,sku31584363506262,ARN.PH
EZ.04.026,sku31584363506262,LZC.PH
EZ.04.026,sku31584363506262,BLW.PH
EZ.04.026,sku41584363506263,WAR.PH
EZ.04.026,sku41584363506263,AMZ.PH
EZ.04.026,sku41584363506263,CPO.PH
EZ.04.026,sku41584363506263,ARN.PH
EZ.04.026,sku41584363506263,LZC.PH
EZ.04.026,sku41584363506263,BLW.PH
EZ.04.026,sku51584363506264,WAR.PH
EZ.04.026,sku51584363506264,AMZ.PH
EZ.04.026,sku51584363506264,CPO.PH
EZ.04.026,sku51584363506264,ARN.PH
EZ.04.026,sku51584363506264,LZC.PH
EZ.04.026,sku51584363506264,BLW.PH
EZ.04.026,sku61584363506266,WAR.PH
EZ.04.026,sku61584363506266,AMZ.PH
EZ.04.026,sku61584363506266,CPO.PH
EZ.04.026,sku61584363506266,ARN.PH
EZ.04.026,sku61584363506266,LZC.PH
EZ.04.026,sku61584363506266,BLW.PH
EZ.04.027,sku01584380186641,LZC.PH
EZ.04.027,sku01584380186641,WAR.PH
EZ.04.027,sku01584380186641,BLW.PH
EZ.04.027,sku01584380186641,CPO.PH
EZ.04.027,sku01584380186641,AMZ.PH
EZ.04.028,sku01584380468345,MPH.21
EZ.04.028,sku01584380468345,MPH.07
EZ.04.028,sku01584380468345,MPH.09
EZ.04.028,sku01584380468345,MPH.06
EZ.04.028,sku01584380468345,MPH.11
EZ.04.028,sku01584380468345,MPH.12
EZ.04.028,sku01584380468345,MPH.03
EZ.04.028,sku01584380468345,MPH.05
EZ.04.028,sku01584380468345,MPH.10
EZ.04.028,sku01584380468345,MPH-06
